,id,song.full_title,song.artist_names,song.lyrics,UniqueWordsPercent,AlbumName,topic1,topic2,topic3,topic4,topic5,topic6,topic7
10,10,TOPIA TWINS by Travis Scott (Ft. 21 Savage & Rob49),Travis Scott (Ft. 21 Savage & Rob49),169 contributorstranslationsespaolportugusdeutschtopia twin lyric twin bitch twin bitch twin bitch hoppin off a jetski yeah ayy what we doin twin bitch twin bitch yeah twin bitch hoppin off a jetski yeah yeah it so hard to hide im a dawg nigga i make a mistake and show it way i shoot my shot at all these hoe i fuck my shoulder up travis what if they twin and they siamese but they wan na fuck u both yeah buy her what she want and suck her toe im tryna make her cum told her throw it back and put that pussy on me yeah told her sit it on this dick i take the glizzy off me and you know this life be busy man im bizzy homie and i come through throw a pack she never leave me lonely yeah yeah i cant do no cuddle cant stay til the mornin cant stay til the mornin she an angel in the street a demon undercover yeah lie to shorty like i hate her fuck her like i love her fuck her like i love her i be stuntin like my daddy im from new orleans project from new orleans project yeah sittin sideways with a drink while i think bitch get cold in the summer keep a mink tell me what you doin for her well not think another nigga do it for her before you blink highway movin right behind me a fleet if she get too annoyin find a beach twin bitch twin bitch twin bitch hoppin off a jetski perfect you might also like twin bitch 21 twin dracs twin glocks twin jet 21 charter plane i dont ride prop slow stroke yeah perfect from the back i be drinkin wock x-ray cat scan nigga ask my opps 21 ten bad bitch in the studio they all prop perfect treat them nigga like rhythmic radio they all pop shouldve get some lipo she get shot now her a drop slime sittin in the cell i bet he comin home like pac on god perfect she give me wet mouth i need a mop i dont want that clean head lil bitch i want that slop 21 she cant bring her phone aint no givin out my drop rockin lanvins when i step on nigga block on god need a dealer license all these car i do copped they keep lookin for her head but it goin down like joc 21 oh he think he tough he just actin he the rock yeah amazon prime give me two day i bet he drop pussy sittin sideways with a drink while i think bitch get cold in the summer keep a mink tell me what you doin for her well not think another nigga do it for her before you blink highway movin right behind me a fleet if she get too annoyin find a beach twin bitch twin bitch twin bitch hoppin off a jetski it not electric this shit gas up can you catch it skrrt skrrt the virgil jetski one of one-fifty check the leverage pussy get two twin they top tier thats my favorite fetish deep in her throat til she tear im her favorite beverage straight up ran out of time make ten aps man i cant retire be on the road collectin rubber band to match attire yeah i get the vision aint no dippin in that ayahuasca this shit get thicker than a bitch with stripe lsu tiger pussy ayy twin call up twin tell her im in town now 21 london bitch she wan na link she drop the pin to pound town 21 a thick when she walk it get it own surround sound yeah and she tryna ride me like a wave ima drown drown she say she like the way the soul chop it make her bounce bounce 21 she from the west but when she with me she from down south flew into town not to hotel but to the town house i send the drop they hit the drop we brought the drop out on god sittin sideways with a drink while i think bitch get cold in the summer keep a mink tell me what you doin for her well not think another nigga do it for her before you blink on god highway movin right behind me a fleet if she get too annoyin find a beach 21 twin bitch twin bitch yeah twin bitch hoppin off a jetski12embed,0.38603425559947296,Utopia (2023),0.0004,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004
11,11,CIRCUS MAXIMUS by Travis Scott (Ft. Swae Lee & The Weeknd),Travis Scott (Ft. Swae Lee & The Weeknd),137 contributorstranslationsespaolpolskideutschcircus maximus lyric unreal what be this god do give me strength be these the front row seat you want well have our final moment a walk-in attraction a walkin distraction im naturally black and unnaturally breathin like a waist that be snatchin welcome to my world where it packed in at the top of the tavern how i see when this happenin all the real have be dabbed in all the all the bump and the grabbin aint no cop here harassin all the look and the laughin and outside it get traffic cause inside we wreak havoc yah i know when this yeah i know when this drastic whre it goin when i back up emotion all this here im controllin when im back in the when im back in the street on my side im patrollin when im back in the when im back in the ah you might also like i know our love be forsaken woo but do you care if i be alive whenever im back in the ah or do you wan na be famous woo yeah i take the top off like she take her lil blouse off too hard to go drop off you know that boy not soft i never would travel so i need me a time vault i be up in cabo with my bailey osanto in this world look around yo it just mano y mano i might still eat mcdonalds but dont think im a ronald i go back to my land move like moses walkin over sea in my state because the country every part of it be part of me tell your parliament pardon me woo off the sak turn to socrates woo heavy moment on the ground feel it shapin in the sound cause we ri cause we right in yo house and you know that we down if yo a dont know nothin get ta know that it time im excite to jump in so much that im flyin put you right in the function take you right off a vine get this shit in a bind we get it we get it now ah woo whenever im duckin it ah woo im wait on a let go im wait on a let go i know myself i know exactly how to make you special go collect your fame im wait in an echo im wait in an echo cause you keep callin back i thought i told you that we do not sorry i didnt let you out out woah-oh out out woah-oh8embed,0.48267898383371827,Utopia (2023),0.0286,0.0008,0.0434,0.9096,0.0161,0.0008,0.0008
12,12,PARASAIL by Travis Scott (Ft. Dave Chappelle & Yung Lean),Travis Scott (Ft. Dave Chappelle & Yung Lean),92 contributorstranslationsespaolportugusdeutschparasail lyric i stand tall i fall i get up i fall i get up i fall but i get up i stand tall i stand tall ridin parasail rollin through the grass shade under tree lookin through a glass watchin by the bush waitin on a breeze you be all i need water movin fast washin memory tryna make it last parasail flyin through the bush we flyin through the bush wave we gon rock wave we gon take a swole we gon swole we gon rock clean we gon shake off the mother-mother-mother-mother live we gon live we gon rock show we gon pop we gon rock i success come so easy for you oh thyre wait behind the call you might also like ridin parasail rollin through th grass shade under tree lookin through a glass watchin by the bush waitin on ooh-ooh-ooh i forgive myself i forgive myself i choose to feel good i choose to feel free i will fight for everything i love forever and i will love everything that i fight for forever with me wonder what you wan na do when youre not with me22embed,0.48484848484848486,Utopia (2023),0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.9913
13,13,SKITZO by Travis Scott (Ft. Young Thug),Travis Scott (Ft. Young Thug),189 contributorstranslationsespaolportugusdeutschskitzo lyric beat me i move at night when they really cant see me i ran it back last time but it aint last time i get so much around the house i have to hide mine yeah oh throw it all before i hit the door she drop em have the clothes off oh i thought it be a setup watch her i cant doze off the dog out the kennel watchin with the scope off with the heat talk watch it burn your soul off ah i take em out of office now they work for me now i take her out the background she play the lead now lead put it in the back gate or hold the tree down tree tryna tell you what i need somebody do that there late at night at home get ratchet can you do that there way out when im on road you send me do that there told you ima be right back a long a told you ima be right back a long a do that there do that there way out when yeah do that there late at night at home get ratchet can you do that there can you do it told you ima be right back a long a do that there told you ima be right back a long a you might also like beat me i move at night when they really cant see me i ran it back last time but it aint last time i get so much around the house i have to hide mine to hide mine let go bling-bling i get a rush every time i see some diamond she get it up she gon bounce it like a trampoline keep up with swag she be fresher than a mannequin all type of bag in her closet like she married to me married to me you a puzzle patek phillipe keep it right there with my postcode slatt postcode i be jumpin out the gym with no jordan on woah she be all above the rim on her torso woah princess cut diamond i get plenty lift it up air it out like linen yah roll royce big ol truck im in it yah bounce round like he want smoke im a chimney yah tall her hair long she jamaican maican and she tryna rage in the bedroom yah and she get a rollie on her leg too leg too and it plain gold ace of spade too yeah coco chanel for real on her toe i get white folk money eminem with no gold i get rise gold teeth and rise gold rim on my roll peep the way they lookin we gettin richer than a bookie ayy beat me i move at night when they really cant see me i ran it back last time but it aint last time i get so much around the house i have to hide mine to hide mine believe me i move at night when they really cant see me i ran it back last time but it aint last time i get so much around the house i have to hide mine to hide mine alright alright alright alright alright alright without goin deep shakespeare take the squad brought the play right here yeah get the vision and i make that clear clear up from two til it two runnin play like the tennessee kid tennessee im the one thats why they tryna hurt the kid kid im the one jh with the braid with the light with the ike and the smoke but i cant stay away see this life man i cant stay away find a vice man i cant stay away find it hard why i cant play it safe see the top ten pen list i dont even know how they could pin this knowin that im the human pinterest need true love but i know true love like a friendship but even titanic have an endin i rock the boat with ice so expensive hair long not no extension money long shit be extend she need me now she need me a pendant i say you need me now i aint finish huh i say you need me now i say you need me now you need me ah i stick to the code binary like be and o ooh im too expose i get ta keep curtain close close her body bold she hid it behind the clothes skeet skeet skeet im in cabo im hittin these adios tryna balance all these up and down but i keep poppin low low man it be what it be thats just how it go pure session i just kept progressin finally found the flow flow if the answer down there with the devil i may never know let go my dawg just get freed out the precinct free hid it in my bag let hit turk for the weekend let go why do i pop two out that whole pack dawg im tweakin geeked baby girl come suck keep me up aint no sleepin ooh she gon let me beat that body up like we beefin beefin well yet she vegan vegan well yet she tweakin tweakin yeah 6 be i hit my alarm clock yeah you see the vision this shit non-stop get ta keep my palm hot hot get longhorn in my backyard bitch im a lonestar the droptop come with the top i cut the door apart my brodie keep a stainless to steal aint no chrome heart grr i cut some off i have to well myself against the odds id bet on myself i be at frank gibbins before thanksgiving thanks to my health too many flaw tryna generate wealth man thats how you go broke and lose bros and lose hope in this shit i be thinkin that we both could be rich i guess it one-sided crazy how they love to talk shit and get no trident im loyal bitch i get ye over biden i let the shit go off the top yeah no typin how i go from overlook to these nigga be overbitin how im always in they ear im enticin and you aint get ta take it from me im advisin for real18embed,0.35767790262172283,Utopia (2023),0.0003,0.0003,0.0003,0.9846,0.014,0.0003,0.0003
14,14,LOST FOREVER by Travis Scott (Ft. Westside Gunn),Travis Scott (Ft. Westside Gunn),169 contributorstranslationstrkeportugusenglishdeutschlost forever lyric have you ever be lose have you ever be lose forever lose on island driven in boat car just bring your girl feel like she both ours young black nigga work at the auchans auchans so how we here trap on the ocean bout to go up a level of disrespectful im just one chain away from goin heavy metal im just one angel away from blockin out the devil just one mountain away from meetin all my rebel too much power too many hour all in a day i sent her flower aint talkin rise im talkin maoda ask if she ha-ha-ha i wouldnt doubt it take her through the hill at noon she felt the and how wonderful how wonderful baby girl think she in honolu wonderful dont you know you in the i-5 loop how wonderful how many chicken fit in the coupe how wonderful wonderful wonderful she dont wan na leave she jump up bounce back like trampoline have you ever be lose you might also like ayo whip the cocaine til the pot bust til the pot bust ah you be on the porch i be lock up i be lock up ah two-tone maybach truck with the mac-12 skrrt mac-12 think a nigga shot somethin ah put it to your face watch a motherfucker blow boo-boo-boo-boo-boom daytona different color face on the ro ah ten on his head he be dead by the mornin by the mornin i can get thirty for the stove ah dior trench shit hang to the floor ah dior goggles i aint playin with you hoe uh-uh out in south beach with the pole in the roll skrrt boo-boo-boo-boo-boom good to see ya dude alligator on the toe ah fashion week i almost tripped two bitch ah hundred-round drum make a nigga go get it make a nigga go get it grrt john l sullivan bucket while we drillin boo-boo-boo-boo-boom have to sneak my new glock up in lenox ah free sly green he get wayne perry digit sock burberry dick suck on the visit ah brrt boo-boo-boo-boo-boom first one to pop first to earn the stripe stripe three strike in twenty-five to life uh-uh hype up the building hype up the sight sight whip get the wing of angel kit i be want this shit my whole life i didnt pray for it she want me to come into his house but i cant kick it she want the whole dub-dub e but i aint convince never met her she but she met sheck she dont need a prince take her off the o into the d she aint take offense way we get it bouncin off the board we make print wait until i step into the floor and then they commence30embed,0.5338983050847458,Utopia (2023),0.0006,0.0006,0.0006,0.9967,0.0006,0.0006,0.0006
15,15,LOOOVE by Travis Scott (Ft. Kid Cudi),Travis Scott (Ft. Kid Cudi),158 contributorstranslationsespaolportugusdeutschlooove lyric i get it i get it i get it love they love me they love me love me long time i get it i get it i get it love they love me they love me love me long time i get it i get it i get it love they love me they love me love me long time long time long time i get it i get it i get it love they love me they love me love me long time long time long time yall feel yall feel like that yall feel yall feel like that they give me they give me love they love the scott they love how the disc rock they lovin the jac no wi-fi we hot spottin connect the block rollin through the club we feelin the love iller than my tree they jockin my steeze please five hundred degree nigga who hotter than me bitch yeah yall feel yall feel like that yall feel yall feel like that you might also like they love me love me love me yeah they love me long time they love me they love me love to show me love love they love me love me love me yeah they love me long time they love me they love me love to show me love love yall feel yall feel like that yall feel yall feel like that come and kick back with u this a new religion come and have mass with u tell me have you make love to a bachelor-turned-ambassador use to grow up in the backwoods come take a ride with the real it the last of u we gon make them vogue bitch turn racheter first task nihilate you use to laugh at u pa the actavis cause a nigga past passivist imagine my world of misogyny nigga fuck a fuck a monogamy get her head tipped over the driver seat meet me dont go tell my mama bout this baby hold up we gon own the summer never never stressin no we always hit the number cuzzo always stressin always cuffin different number know he tire of makin shit you know the street dont make diploma drunk somethin tryna find my key i find myself lookin down at the star the bee the star align remember when it be ramadan might try a line might try some crime might try to dime but now it time baby now it time na-na-na-na-na na-na-na-na-na na-na-na-na-na i get the love and they givin it up like i get it i get it i get it love they love me they love me love me long time i get it i get it i get it love they love me they love me love me long time time time i get it i get it i get it love they love me they love me love me long time long time long time i get it i get it i get it love they love me they love me love me long time long time long time yall feel yall feel like that yall feel yall feel like that it on fire toni the night be too young and the love in the air it hit me follow all the vibe im in every city gamble with your life thinkin bout it woday tell ya homie chill tonight you dont want it with him we raise our glass the madness the tiny waist the a dancin in trance baby say she ready and we bout to find out dont be mad that your girl do found bout and we get it never lie rager-fied on a mission and they lookin like they know but they didnt let me slip into my mode i slip round the note smokin plenty with tequila baby member of the rage runway with it fashion week in paris front row with it diamond always dancin no bullshittin see a black god on the job yeah im so winnin11embed,0.3357771260997067,Utopia (2023),0.853,0.1449,0.0004,0.0004,0.0004,0.0004,0.0004
16,16,K-POP by Travis Scott (Ft. Bad Bunny & The Weeknd),Travis Scott (Ft. Bad Bunny & The Weeknd),193 contributorstranslationsespaolportugustrkedeutschk-pop lyric gon na pop baby vemo swish lit lit move that shit out here here you full off one sip sip fallin off but i get grip grip all around the trap it hit hit hit ayy all around the map you trip skrrt take it like nine out of ten yeah think they gon find that again think i get ta bond out again behind the tint i sin i vent cant forget about that place we go right after you put that in my head do you still pop em do you dance do you still drop some know you can i get a lot but im still chancin yeah-yeah yeah yeah hace tiempo no te veo eh e que ahora en miami jangueo eh eh ya no tengo la rodeo ahora en la g-wagon me posteo ey y te lo meto al frente e la playa como aquello tiempo de camino a maya t ni fumaba y chingando te arrebat dale no pierdas tiempo no lo piense trpate t bien loca loca yo bien loco loco si ahora tu mai no pilla me pide una foto la nota me explota el ticke lo exploto vamo pa cayo musha ya le texte al piloto eh-eh you might also like i know it be one time swish you feel like that go on go on that night be just so fire i need you back sooner sooner you come back on this side when shit get back cooler cooler we run it back one time im grabbin you uno uno ooh uno ooh-ooh mm-mm mm-mm ooh mm-mm mm-mm ooh-yeah mm-mm mix the drug with the pain let the wave lead the way you in cannes and saint-tropez callin out my name you know im roll my face off you know im high off that k pop rubbin up on your body all your clothes you gon take off south of france we gon party this aint some lil yachty we gon fuck til we seasick skrrt you my bad lil mami mami yeah you love me you could tell me you love me even if you dont mean it mm-mm sexll make you believe it mm-mm i love it when she up on me mm-mm love when shell call me papi mm-mm even though she korean mm-mm get her wet like tsunami nami ooh yeah yeah-yeah yeah yeah i know it be one time swish you feel like that go on go on that night be just so fire i need you back sooner sooner you come back on this side when shit get back cooler cooler we run it back one time im grabbin you uno yeah-yeah yeah yeah uno15embed,0.487964989059081,Utopia (2023),0.0006,0.0006,0.0006,0.9966,0.0006,0.0006,0.0006
17,17,TELEKINESIS by Travis Scott (Ft. Future & SZA),Travis Scott (Ft. Future & SZA),203 contributorstranslationsespaolportugusdeutschtelekinesis lyric use to wan na fuck an rb bitch then that shit happen yeah yeah pluto use to wan na be rich then it finally happen thought itd make me happy thought itd make me happy i couldve take the pain and i couldve go out sad street step in and raise me but i aint have my daddy nigga tryna clone me run off with my swag from sellin coco get chanel on my jacket jacket shawty give me mop with the less it dont last last takin more drug all alone in a mansion all alone walkin around tweakin with the yop in my hand walkin around tweakin just another broke ho just prachin for these band just another ho and i know im du for a billion-dollar advance uh-huh i can see the future i can see the future i can see the future i can see the future it lookin like we level through the sky i cant wait to live in glory in eternal lastin life livin in glory wont you take the wheel and i recline and i sit still might a well turn up now he gon pop up unannounced to the trumpet do you like the way it sound like the way it sound you know the future of the bounce ayy i can hear your thought so loud i can hear the crowd so loud do you like the way it sound ayy i can hear your thought so loud i can hear the crowd so loud so loud loud you might also like i can see the future ride with wolf and storm and some trooper ridin through this shit this shit be stupid uh sky walkin round like im luke-uh duckin all these convos like im bruce-uh super mobbin with my angel dodgin lucifer mob seein every angle i can see through ya yeah yeah i can see the future it lookin like we level through the sky see enough i cant wait to live in glory in eternal lastin life livin in glory wont you take the wheel and see enough i recline and i sit still might a well turn up now he gon pop up unannounced to the trumpet do you like the way it sound you know the future of the bounce count so much money til my skin peel cherry-red benz like the real pimp yeah my bro cook up dope it take real skill share my bitch with my ho aint get no chill no you either gettin to money or youre gossipin yeah she chose up put on this coat now she lottery place i thought id never go i fly model in i hear the demon clear when they callin yeah flyest on the earth so i have to name myself a planet pluto automatic dead when you goin against my family few breakup go public i just bought another baddie bought another baddie bitch knew i be toxic when she met me i be a savage met me i be a savage high in the hill tryna avoid any madness yeah private on the lear this just like we imagine only settlin for this hi-tech cause i aint get the actavis yeah im tryna be modest ah it sound like im braggin braggin cartier my frame frame all because my fame fame bitch say she ashamed to love me in public rather go private see enough count so much money til my skin peel cherry-red benz like the real pimp my bro cook up dope it take real skill share my bitch with my ho aint get no chill you either gettin to money or youre gossipin she chose up put on this coat now she lottery i can see the future it lookin like we level through the sky i cant wait to live in glory in eternal lastin life wont you take the wheel and i recline and i sit still might a well turn up now he gon pop up unannounced to the trumpet do you like the way it sound i cant get enough told you i just want it all i cant get enough you aint be doin enough do you like the way it sound so cold so cold it so cold so cold so cold you could see the future there a sparkle in your eye why you all up on my thigh cant let you nigga plottin my demise i get murder on my mind i get money on the line i cant lose if i try let no bitch break my stride chosen im gon bet on me chosen all my shit antique frozen i cant feel no heat diamond dance on me you startin fresh man you fell out of pocket you fuck that girl that you met at the party i get some new nigga down in the lobby how can i sleep when youre out catchin body i still wan na be with you trust me i know thats insane id rather fuck on you than fuck on lame i do some shit in berlin im od we both aint shit and it workin for me workin for me yeah i can see the future i can see the future22embed,0.3449438202247191,Utopia (2023),0.998,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
18,18,TIL FURTHER NOTICE by Travis Scott (Ft. 21 Savage & James Blake),Travis Scott (Ft. 21 Savage & James Blake),125 contributorstranslationsespaolportugusdeutschitalianotil far notice lyric where will you go now now that youre do with me where will you go now now that youre do with me i dont blame you you should be do with me i dont blame you you should be do why wont you even talk about it or even hear about it or even feel about it metro like the cover come off in the heat we dont have to lie we dont have to lie right here and it alright i shouldve wait somehow i shouldnt have push so hard i always push too hard and now it just a blackout and now it just a blackout somehow my mama always told me put yourself first i dont really fall in love with woman man cause love hurt i hit a couple broad i cant lie i put my dick first now you runnin round playin payback and that shit hurt i shouldve treat you well 21 use to deal with lame til she ran into a stepper on god big dawg savage im a zone 6 repper 21 nigga throwin salt but the draco come with pepper straight up she say we aint goin nowhere cause all i do be sext her on god woah never knew that i have to propose no 21 i be fine with you bein one of my hoe for sure on god she say she see u bein somebody goal what be those 21 i thought about givin you the key to my heart but it froze you might also like where would you go now now that youre do with me where would you go now now that youre do with me where would you go now now that youre do with me where would you go now now that youre do with me til far notice ah-ah til far notice ah-ah til far notice well keep you post ah-ah til far notice well keep you post ooh if energy make energy x-rated love x-rated love if energy make energy make energy x-rated love x-rated love mm ha ha you know the love be x-rated it how we make it drinkin help balance the patience watch how you take it cant keep no bitch it too dangerous i be x-rated take everything up for the takin i couldnt save it see red and blue i hit the pavement get low get vacant she need angle i need angel im fightin satan leave me fade i feel painless i go out gracious im tryna feel the shade of greatness by celebratin bring entertainment goin brainless like goin dumb on my hiatus she fall more in love every time that i tip i fade away every time that i take a sip i be goin off the rip i be bumpin more coldplay the world cold a shit i know one thing bout the old one can have more fun with it knew exactly how to roll one and how to tote a stick even if she at the show so she never let em hit always knew she always on one and i can bare with it yeah i can bare with it where will you go now now that youre do with me where will you go now now that youre do with me where will you go now now that youre do with me where will you go now now that youre do with me til far notice til far notice til far notice well keep you post til far notice well keep you posted18embed,0.39072847682119205,Utopia (2023),0.0005,0.0005,0.997,0.0005,0.0005,0.0005,0.0005
19,19,STARGAZING by Travis Scott,Travis Scott,338 contributorstranslationsespaolportugusfranaisitalianostargazing lyric ah rollin rollin rollin get me stargazin yeah sippin on purp feelin like the barre baby it lit whatever i down it get me goin crazy yeah psychedelics get me goin crazy alright i be hot a hell out in the heat yeah yeah then a storm come in and save my life head up to the sky down on my knee straight up out of nowhere you come here to save the night in the nighttime woo yeah rollin rollin rollin get me stargazin roll psychedelics get me goin crazy oh no nigga femalin they excellin yeah be they intellin what you tellin we propellin up top with ellen uh with the chopper kill the jealous with propane repellent get me goin crazy it lit on tour well tell em we brought the section gang they keep on callin up it get hectic brrt like we project so we cut the plug he interject get me goin crazy you might also like rollin rollin rollin get me stargazin yeah sippin on purp feelin like the barre baby it lit whatever i down it get me goin crazy yah psychedelics get me goin crazy alright i be hot a hell out in the heat yeah yeah then the storm come in and save my life head up to the sky down on my knee straight up out of nowhere you come here to save the night in the nighttime woo yeah get me goin crazy okay i be up for some day i aint get time to lay just to drown out all these thought i try all kind of thing if i take you to my past you will be traumatize get a thousand kid outside thats tryna come alive 99 take astroworld it have to relocate told the dawgs id bring it back it be a seal of faith before no car note baby girl she played the tourist guide get the key into my city now she know the ride get new money get new problem get new enemy when you make it to the top thats the amenity packin out toyota like im in the league and it aint a mosh pit if aint no injury i get em stage divin out the nosebleed alright alright alright and she hit that booger sugar til her nose bleed alright alright alright bounce that shit forever she on both knee she be talkin bout forever get a whole week alright alright alright plus she know my baby mama be a trophy she be throwin up them b feel like we both bleed she keep my dick jumpin up feel like im moby im way too gold for this beef feel like im kobe yeah this right here be astronomical i see you picked up all my way i feel responsible they tryna say that all my problem be improbable they keep itchin at my spirit im diabolical you feel me238embed,0.437125748502994,Astroworld (2018),0.0006,0.9964,0.0006,0.0006,0.0006,0.0006,0.0006
20,20,CAROUSEL by Travis Scott (Ft. Frank Ocean),Travis Scott (Ft. Frank Ocean),214 contributorstranslationsespaolportugusfranaissvenskacarousel lyric whats crackin you already know who it be it your boy big tuck freight train tuck astroworld be now in session you understand im the dean of this here i get this yeah yeah park at the day inn aint takin no day in yeah yeah dont need a vacation i need a replacement uh alright bustin the light out soon a we come in yeah it lit whatre they talkin about whats it pertainin yeah yeah need me a therapist to ask if im age yah this m-e-d it feel cave in yah all of my demon invadin i live paranoid hesitatin they bitin they bitin the cadence skrrt skrrt go out their way it okay skrrt skrrt just lock the door at the basement skrrt skrrt i get a gate with my face in it brand new brand new this new place i get to new world new sky thats so blue it black too yeah yeah new growth new growth all these fade i outgrew yeah blue band blue band get my cash from drive-thru ooh boy you too flash too flash keep the flash minimal ooh ooh bitch im too cold too cold see my breath visible ooh you might also like yeah icy cold it be so it be so icy cold yeah mix the water with cheese be make the money get mold yeah try to be like gang you well go get it in vogue yeah put 84s on lane i ride by you think it be spoke poke uh we do it we say it we spoke poke yeah we put it out thought it be smoke this 504 uh this be at home right down the street from alamo move in silence dont mean it movin slow even though the speed get old sprinkle methamphetamine on the leaf like the snow bet they soak im a new specie tail swing on the road come to reach and lose both get spring like a toad some for free in the tote sak drown like round white diamond carat yeah copy sound might get two wing parrot alright land downwind caught two wing it lit talon scrape hit the stage two wing yeah yeah well pray well pray two wing straight up brand new brand new this new place i get to new world new sky thats so blue it black too yeah yeah new growth new growth all these fade i outgrew yeah blue band blue band get my cash from drive-thru ooh boy you too flash too flash keep the flash minimal ooh ooh bitch im too cold too cold see my breath visible ooh58embed,0.4611973392461197,Astroworld (2018),0.0006,0.0006,0.0006,0.0006,0.0006,0.9965,0.0006
21,21,SICKO MODE by Travis Scott (Ft. Drake),Travis Scott (Ft. Drake),915 contributorstranslationsespaolportugustrkefranaisdeutschitalianosicko mode lyric astro yeah sun be down freezin cold thats how we already know winter here my dawg would probably do it for a louis belt thats just all he know he dont know nothin else i try to show em yeah i try to show em yeah yeah yeah yeah yeah goin on you with the pick and roll young la flame he in sicko mode woo make this here with all the ice on in the booth at the gate outside when they pull up they get me loose yeah jump out boy thats nike boy hoppin out coupe this shit way too big when we pull up give me the loot gim me the loot be off the remy have a papoose have to hit my old town to duck the news two-four hour lockdown we make no move now it 4 be and im back up poppin with the crew i just land in chase b mix pop like jamba juice different color chain think my jeweler really sellin fruit and they chokin man know the cracker wish it be a noose you might also like some-some-some-someone say to win the retreat we all in too deep play-play-playin for keep dont play u for weak someone say to win the retreat we all in too deep play-play-playin for keep dont play u for weak yeah this shit way too formal yall know i dont follow suit stacey dash most of these girl aint get a clue all of these hoe i make off record i produce i might take all my ex and put em all in a group hit my e i need the bootch bout to turn this function to bonnaroo told her hop in you comin too in the 305 bitch treat me like im uncle luke dont stop pop that pussy have to slop the top off it just a roof uh she say where we goin i say the moon we aint even make it to the room she thought it be the ocean it just the pool now i get her open it just the goose who put this shit together im the glue someone say shorty facetimed me out the blue someone say play-playin for keep someone say mother someone say dont play u for weak yeah astro yeah yeah tay keith fuck these nigga up ayy ayy shes in love with who i be back in high school i use to bus it to the dance yeah now i hit the fbo with duffel in my hand i do half a xan thirteen hour til i land have me out like a light ayy yeah like a light ayy yeah like a light ayy slept through the flight ayy knock for the night ayy 767 man this shit get double bedroom man i still get score to settle man i crept down the block down the block make a right yeah right cut the light yeah what paid the price yeah nigga think it sweet nah never it on sight yeah what nothin nice yeah baguette in my ice aw man jesus christ yeah check over stripe yeah thats what i like yeah thats what we like yeah lose my respect you not a threat when i shoot my shot that shit wetty like im sheck bitch see the shot that i take ayy wet like im book ayy wet like im lizzie i be spinnin valley circle block til im dizzy yeah what like where be he yeah what no one see him yeah yeah im tryna clean em yeah shes in love with who i be back in high school i use to bus it to the dance now i hit the fbo with duffel in my hand woo i do half a xan thirteen hour til i land have me out like a light like a light like a light like a light like a light like a light like a light yeah pa the dawgs a celly sendin text aint sendin kite yeah he say keep that on lock i say you know this shit it stife yeah it absolute yeah yeah im back reboot it lit laferrari to jamba juice yeah skrrt skrrt we back on the road they jumpin off no parachute yeah shorty in the back she say she workin on her glute yeah oh my god aint by the book yeah this how it look yeah bout a check yeah check just check the foot yeah pa this to my daughter ima show her what it take yeah baby mama cover forbes get these other bitch shook yeah753embed,0.4010152284263959,Astroworld (2018),0.0004,0.0004,0.0004,0.9977,0.0004,0.0004,0.0004
22,22,R.I.P. SCREW by Travis Scott (Ft. Swae Lee),Travis Scott (Ft. Swae Lee),160 contributorstranslationsespaolportugusrip screw lyric ya know southside rest in peace to screw tonight we take it slowly yeah im gon na let you know the move im gon na let you know the move im gon na take you on a cruise im gon na take you home and screw southside and thats all ive be sayin southside if you fall for the game then youre the one playin because it too much money out here and there too many honey out here feel like i tripped off the drank thats weird feel like i tripped off the drank thats weird rest in peace to screw tonight we take it slowly oh my god i just can feel the love drop top with the window up jump inside oh wont you roll with u make the devil bite the angel dust shawty get a thing for u shawty what you want tell me what you like tell me what you want you might also like rest in peace to screw tonight we take it slowly yeah ooh-ooh i just take a four to the head like man ooh-ooh drop the top on the slab like man ooh-ooh off the top of the dome like man ooh-ooh nothin beatin home like man ooh-ooh in the screw tape zone like man ooh-ooh i go pimp c on the phone like man ooh-ooh flip say platinum dont do chrome like man have the southside fade now let the braid hang this shit suc smooth like man rest in peace screw like man rest in peace to screw tonight we take it slowly oh my god i just can feel the love drop top with the window up screw found international sound because throughout the south and it new to um shawty get a thing for us45embed,0.42105263157894735,Astroworld (2018),0.0009,0.9947,0.0009,0.0009,0.0009,0.0009,0.0009
